trans_id,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,lat,long,city_pop,job,dob,merch_lat,merch_long,is_fraud,customer_id
295780.0,,579516000000.0,,,8552.65,,,,,,,-3.6610785,145.222241,691077.0,,,-3.676868,145.213831,0.0,
825718.0,,4126110000000000.0,,,9139.49,,,,,,,,-8.62593,,,,-14.437954,-8.607795,,6.24e+18
165012.0,,6563210000000000.0,,,7568.37,,,,,,,76.1969725,102.564244,380244.0,,,76.214025,102.567219,0.0,-2.61e+18
,,3531340000000000.0,,,9074.0,,,,,,,27.8408555,93.934433,440893.0,,,27.838502,93.950223,0.0,2.19e+18
742125.0,,4800550000000.0,,,5056.81,,,,,,,81.974419,71.656847,308606.0,,,81.959219,71.668432,0.0,-5.21e+18
605763.0,,213121000000000.0,,,353.55,,,,,,,,-148.053492,377788.0,,,-16.607856,-148.038555,0.0,
650365.0,,30368800000000.0,,,7292.34,,,,,,,57.053798,-20.732788,377329.0,,,57.035884,-20.719375,1.0,-3.35e+18
355859.0,,30338200000000.0,,,8760.33,,,,,,,10.800613,128.719889,668665.0,,,10.786513,128.737108,0.0,1.35e+18
485625.0,,6011380000000000.0,,,6729.28,,,,,,,27.408664,-68.82537,590253.0,,,27.395461,-68.827501,,-3.07e+18
110711.0,,4590410000000000.0,,,8186.72,,,,,,,27.2517865,-90.896522,738101.0,,,27.232074,-90.885213,1.0,-9.05e+18
320704.0,,30304900000000.0,,,200.08,,,,,,,74.390634,-88.715665,786318.0,,,74.388608,-88.707879,0.0,5.3e+17
173928.0,,2712730000000000.0,,,9211.65,,,,,,,-55.7639525,160.177982,,,,,160.16459,0.0,3.77e+18
203858.0,,4834510000000000.0,,,9776.22,,,,,,,-71.103551,-72.95337,139058.0,,,-71.095969,-72.952605,1.0,4.02e+18
,,3500050000000000.0,,,9182.83,,,,,,,-62.6868585,170.937983,649341.0,,,-62.690823,170.939794,0.0,-2.52e+18
311172.0,,560051000000.0,,,4333.7,,,,,,,82.6638535,71.942578,564012.0,,,82.67613,71.923776,1.0,
525834.0,,38066300000000.0,,,4402.57,,,,,,,-67.6560025,-42.646856,264377.0,,,-67.642091,-42.655543,1.0,2.57e+17
322074.0,,213182000000000.0,,,542.89,,,,,,,28.890278,11.340253,40770.0,,,28.897518,11.358012,1.0,-2.77e+18
436699.0,,30521600000000.0,,,2476.03,,,,,,,,105.667789,149456.0,,,,105.659675,1.0,3.47e+18
340782.0,,3583560000000000.0,,,,,,,,,,13.6087515,158.377934,516918.0,,,13.597593,158.395362,,-1.48e+16
438588.0,,30257400000000.0,,,3500.9,,,,,,,-0.135593,-171.239673,14795.0,,,-0.143582,,1.0,-2.07e+18
863303.0,,503864000000.0,,,2967.16,,,,,,,20.201716,-79.78533,845481.0,,,20.215767,-79.790787,0.0,1.06e+18
393516.0,,4613220000000.0,,,8250.53,,,,,,,86.6255825,-43.427319,391762.0,,,86.610597,-43.420373,1.0,-3.01e+18
650488.0,,4.42786e+18,,,2771.66,,,,,,,,93.742551,320468.0,,,70.005915,93.736114,1.0,-1.74e+17
103714.0,,4674780000000000.0,,,5742.23,,,,,,,83.033419,,217652.0,,,83.020049,21.8861,0.0,4e+18
872718.0,,503882000000.0,,,2907.72,,,,,,,34.9777565,,924856.0,,,34.995506,160.600613,1.0,-3.05e+18
314303.0,,348516000000000.0,,,1174.31,,,,,,,,146.978552,347273.0,,,-84.643852,146.979501,1.0,-2.91e+18
173151.0,,346486000000000.0,,,9299.57,,,,,,,-52.5128385,-3.37881,987989.0,,,-52.521642,-3.394619,0.0,-1.68e+18
